Sum of profile value,From-time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From-date,0:00:00,0:15:00,0:30:00,0:45:00,1:00:00,1:15:00,1:30:00,1:45:00,2:00:00,2:15:00,2:30:00,2:45:00,3:00:00,3:15:00,3:30:00,3:45:00,4:00:00,4:15:00,4:30:00,4:45:00,5:00:00,5:15:00,5:30:00,5:45:00,6:00:00,6:15:00,6:30:00,6:45:00,7:00:00,7:15:00,7:30:00,7:45:00,8:00:00,8:15:00,8:30:00,8:45:00,9:00:00,9:15:00,9:30:00,9:45:00,10:00:00,10:15:00,10:30:00,10:45:00,11:00:00,11:15:00,11:30:00,11:45:00,12:00:00,12:15:00,12:30:00,12:45:00,13:00:00,13:15:00,13:30:00,13:45:00,14:00:00,14:15:00,14:30:00,14:45:00,15:00:00,15:15:00,15:30:00,15:45:00,16:00:00,16:15:00,16:30:00,16:45:00,17:00:00,17:15:00,17:30:00,17:45:00,18:00:00,18:15:00,18:30:00,18:45:00,19:00:00,19:15:00,19:30:00,19:45:00,20:00:00,20:15:00,20:30:00,20:45:00,21:00:00,21:15:00,21:30:00,21:45:00,22:00:00,22:15:00,22:30:00,22:45:00,23:00:00,23:15:00,23:30:00,23:45:00,Grand Total
1/1/2024,0.0000266099,0.0000253699,0.0000250499,0.0000240699,0.0000216399,0.0000206699,0.0000202399,0.0000188299,0.0000195199,0.0000183799,0.0000176199,0.0000171099,0.0000170099,0.0000166299,0.0000155800,0.0000164100,0.0000178400,0.0000153200,0.0000151800,0.0000144700,0.0000137900,0.0000133100,0.0000135200,0.0000143000,0.0000142900,0.0000144500,0.0000159000,0.0000166100,0.0000173700,0.0000181200,0.0000178900,0.0000187900,0.0000189400,0.0000203400,0.0000224400,0.0000235900,0.0000264600,0.0000253500,0.0000321400,0.0000313800,0.0000303900,0.0000338100,0.0000408599,0.0000358199,0.0000385499,0.0000378299,0.0000401899,0.0000468499,0.0000406399,0.0000428699,0.0000416899,0.0000443999,0.0000416899,0.0000418799,0.0000428699,0.0000444899,0.0000461399,0.0000467699,0.0000411799,0.0000419299,0.0000426199,0.0000425399,0.0000417099,0.0000454499,0.0000463099,0.0000512099,0.0000523499,0.0000565699,0.0000597299,0.0000552399,0.0000518199,0.0000536899,0.0000544299,0.0000548199,0.0000542599,0.0000503399,0.0000507499,0.0000519999,0.0000488899,0.0000497199,0.0000483699,0.0000486899,0.0000462499,0.0000456099,0.0000464399,0.0000434599,0.0000452299,0.0000399899,0.0000424599,0.0000407799,0.0000374999,0.0000369199,0.0000325000,0.0000308800,0.0000299800,0.0000271800,0.0032500636
2/1/2024,0.0000244899,0.0000228499,0.0000206899,0.0000195499,0.0000187999,0.0000179999,0.0000177699,0.0000175999,0.0000173999,0.0000172599,0.0000170299,0.0000163799,0.0000161699,0.0000153899,0.0000150500,0.0000144200,0.0000149200,0.0000145200,0.0000160500,0.0000159500,0.0000152600,0.0000147600,0.0000148300,0.0000152800,0.0000168000,0.0000189100,0.0000203000,0.0000225800,0.0000246600,0.0000267800,0.0000276100,0.0000316300,0.0000309700,0.0000312200,0.0000307000,0.0000288600,0.0000303900,0.0000314600,0.0000304900,0.0000323100,0.0000322000,0.0000331600,0.0000315500,0.0000315600,0.0000318400,0.0000321800,0.0000319100,0.0000328800,0.0000323900,0.0000321600,0.0000316600,0.0000328700,0.0000351400,0.0000342700,0.0000331800,0.0000331300,0.0000325800,0.0000328500,0.0000331400,0.0000323500,0.0000327200,0.0000332300,0.0000345300,0.0000352499,0.0000375599,0.0000436499,0.0000458999,0.0000484699,0.0000515699,0.0000532799,0.0000576299,0.0000593199,0.0000589899,0.0000581299,0.0000566399,0.0000548699,0.0000543799,0.0000519599,0.0000518299,0.0000518199,0.0000511799,0.0000515399,0.0000512699,0.0000487199,0.0000491999,0.0000473499,0.0000455499,0.0000433399,0.0000420599,0.0000403699,0.0000369199,0.0000340400,0.0000329800,0.0000298900,0.0000276400,0.0000258400,0.0031287058
3/1/2024,0.0000241399,0.0000226699,0.0000216499,0.0000203499,0.0000193999,0.0000183799,0.0000177599,0.0000170499,0.0000164999,0.0000168799,0.0000165699,0.0000156599,0.0000155299,0.0000151099,0.0000146000,0.0000144300,0.0000152500,0.0000137500,0.0000147700,0.0000159200,0.0000144200,0.0000141700,0.0000149700,0.0000160100,0.0000186800,0.0000200600,0.0000202100,0.0000221800,0.0000241700,0.0000284800,0.0000283300,0.0000320800,0.0000327900,0.0000318800,0.0000307500,0.0000302200,0.0000299600,0.0000295000,0.0000317400,0.0000330500,0.0000317100,0.0000307300,0.0000312400,0.0000316000,0.0000315200,0.0000318900,0.0000312600,0.0000319800,0.0000329600,0.0000335300,0.0000344000,0.0000335300,0.0000332900,0.0000336200,0.0000322600,0.0000295100,0.0000309900,0.0000294500,0.0000301700,0.0000307100,0.0000306500,0.0000331600,0.0000360799,0.0000383099,0.0000381799,0.0000434299,0.0000454999,0.0000473499,0.0000516299,0.0000547499,0.0000583799,0.0000595699,0.0000607599,0.0000620899,0.0000588099,0.0000577399,0.0000555499,0.0000547699,0.0000519999,0.0000525599,0.0000518199,0.0000482599,0.0000480499,0.0000468399,0.0000460099,0.0000454099,0.0000418599,0.0000409599,0.0000393799,0.0000375399,0.0000356499,0.0000347900,0.0000324900,0.0000290400,0.0000273400,0.0000252400,0.0031083157
4/1/2024,0.0000243499,0.0000232099,0.0000211999,0.0000205599,0.0000193599,0.0000181699,0.0000178199,0.0000173699,0.0000171999,0.0000169799,0.0000168199,0.0000162999,0.0000158799,0.0000151199,0.0000148500,0.0000140100,0.0000145000,0.0000142100,0.0000152900,0.0000153100,0.0000146900,0.0000153400,0.0000158300,0.0000162400,0.0000175300,0.0000187800,0.0000194000,0.0000209500,0.0000234200,0.0000287400,0.0000304200,0.0000326800,0.0000325900,0.0000323100,0.0000297800,0.0000280100,0.0000286100,0.0000308100,0.0000317100,0.0000314200,0.0000311100,0.0000312500,0.0000311900,0.0000302700,0.0000286400,0.0000298300,0.0000286000,0.0000298700,0.0000302000,0.0000324500,0.0000310400,0.0000323800,0.0000332000,0.0000311400,0.0000312500,0.0000326700,0.0000318900,0.0000307900,0.0000319000,0.0000330300,0.0000317100,0.0000346400,0.0000349300,0.0000356099,0.0000364999,0.0000389999,0.0000420999,0.0000432999,0.0000466199,0.0000502299,0.0000535599,0.0000550599,0.0000556699,0.0000577099,0.0000575099,0.0000561299,0.0000526999,0.0000515299,0.0000524999,0.0000514799,0.0000507599,0.0000509799,0.0000471199,0.0000482799,0.0000472199,0.0000442299,0.0000445199,0.0000418599,0.0000406499,0.0000397399,0.0000374799,0.0000341800,0.0000331500,0.0000304500,0.0000286600,0.0000260900,0.0030543258
5/1/2024,0.0000248899,0.0000224999,0.0000205899,0.0000201699,0.0000187699,0.0000173199,0.0000178099,0.0000173199,0.0000166799,0.0000161699,0.0000161599,0.0000155699,0.0000151399,0.0000146099,0.0000141400,0.0000143700,0.0000140800,0.0000141400,0.0000145300,0.0000151600,0.0000143100,0.0000143400,0.0000151900,0.0000153700,0.0000175800,0.0000187000,0.0000199500,0.0000211600,0.0000243400,0.0000278200,0.0000273100,0.0000302900,0.0000309200,0.0000321900,0.0000307800,0.0000305000,0.0000306600,0.0000306900,0.0000309000,0.0000320300,0.0000296900,0.0000316700,0.0000306400,0.0000297400,0.0000312400,0.0000326200,0.0000317500,0.0000309600,0.0000338800,0.0000324600,0.0000329200,0.0000326500,0.0000343400,0.0000356099,0.0000348500,0.0000342400,0.0000338300,0.0000318800,0.0000326100,0.0000306800,0.0000322900,0.0000333500,0.0000341700,0.0000373299,0.0000389699,0.0000407799,0.0000424199,0.0000443199,0.0000465199,0.0000488299,0.0000509399,0.0000534499,0.0000549499,0.0000546099,0.0000543099,0.0000546599,0.0000523099,0.0000522199,0.0000496599,0.0000464199,0.0000451099,0.0000452799,0.0000462999,0.0000424699,0.0000419999,0.0000426699,0.0000403799,0.0000401599,0.0000392499,0.0000377199,0.0000352399,0.0000342300,0.0000327500,0.0000309700,0.0000291600,0.0000270300,0.0030166357
6/1/2024,0.0000255799,0.0000245699,0.0000229599,0.0000216499,0.0000215199,0.0000203499,0.0000186999,0.0000179299,0.0000172999,0.0000175899,0.0000173899,0.0000166999,0.0000159299,0.0000158299,0.0000149600,0.0000143600,0.0000145400,0.0000143800,0.0000151100,0.0000151300,0.0000138900,0.0000137400,0.0000143800,0.0000139200,0.0000140600,0.0000152600,0.0000165500,0.0000174800,0.0000176200,0.0000188700,0.0000202400,0.0000221700,0.0000227200,0.0000263700,0.0000262500,0.0000279500,0.0000305200,0.0000315700,0.0000328300,0.0000336300,0.0000333000,0.0000335000,0.0000363499,0.0000381299,0.0000382899,0.0000401199,0.0000403799,0.0000419499,0.0000399699,0.0000401799,0.0000411599,0.0000411199,0.0000413099,0.0000406399,0.0000402199,0.0000404499,0.0000378999,0.0000377699,0.0000372799,0.0000394199,0.0000420299,0.0000402399,0.0000433799,0.0000431499,0.0000457399,0.0000455799,0.0000483299,0.0000498599,0.0000521399,0.0000520899,0.0000541199,0.0000551999,0.0000565799,0.0000546499,0.0000532799,0.0000538899,0.0000528999,0.0000501399,0.0000483399,0.0000447199,0.0000458499,0.0000444999,0.0000432599,0.0000418399,0.0000417099,0.0000408899,0.0000384899,0.0000379099,0.0000367899,0.0000354399,0.0000362199,0.0000335100,0.0000324100,0.0000311800,0.0000293400,0.0000270400,0.0031546737
7/1/2024,0.0000255799,0.0000250199,0.0000241999,0.0000222399,0.0000215799,0.0000211799,0.0000201799,0.0000194799,0.0000193299,0.0000188599,0.0000180299,0.0000176899,0.0000166899,0.0000160099,0.0000157100,0.0000151200,0.0000148300,0.0000148400,0.0000154400,0.0000157000,0.0000148300,0.0000145100,0.0000144200,0.0000139700,0.0000148400,0.0000152700,0.0000162800,0.0000162600,0.0000167700,0.0000182900,0.0000185800,0.0000195400,0.0000201700,0.0000228800,0.0000248500,0.0000257100,0.0000281500,0.0000305500,0.0000332800,0.0000332500,0.0000372599,0.0000357099,0.0000364599,0.0000385299,0.0000413799,0.0000400899,0.0000425299,0.0000414899,0.0000416499,0.0000433699,0.0000445999,0.0000444699,0.0000467399,0.0000445899,0.0000462199,0.0000458699,0.0000457999,0.0000449299,0.0000453499,0.0000457999,0.0000428899,0.0000439499,0.0000459099,0.0000458499,0.0000468899,0.0000470199,0.0000479599,0.0000500899,0.0000525499,0.0000566099,0.0000579399,0.0000558699,0.0000561399,0.0000582199,0.0000582699,0.0000558499,0.0000541499,0.0000521499,0.0000509999,0.0000509399,0.0000477999,0.0000458199,0.0000461599,0.0000465399,0.0000451999,0.0000432999,0.0000428999,0.0000398899,0.0000374899,0.0000369699,0.0000363799,0.0000336800,0.0000315700,0.0000288500,0.0000276500,0.0000259700,0.0032893635
8/1/2024,0.0000240699,0.0000227999,0.0000211699,0.0000209399,0.0000191399,0.0000183599,0.0000167799,0.0000166499,0.0000164099,0.0000161599,0.0000161399,0.0000158999,0.0000155999,0.0000153399,0.0000146100,0.0000142800,0.0000143800,0.0000141000,0.0000150400,0.0000159800,0.0000149600,0.0000145200,0.0000142200,0.0000148500,0.0000169200,0.0000186700,0.0000204300,0.0000216500,0.0000247900,0.0000281200,0.0000281200,0.0000323400,0.0000335100,0.0000333700,0.0000318100,0.0000299800,0.0000292700,0.0000294000,0.0000305000,0.0000310800,0.0000298900,0.0000295700,0.0000314200,0.0000326900,0.0000331300,0.0000320600,0.0000321200,0.0000338200,0.0000323900,0.0000332700,0.0000343100,0.0000337700,0.0000343500,0.0000339000,0.0000336200,0.0000334500,0.0000336700,0.0000323200,0.0000319700,0.0000315700,0.0000319800,0.0000326300,0.0000343400,0.0000354099,0.0000371399,0.0000417899,0.0000429499,0.0000466499,0.0000498099,0.0000547699,0.0000580499,0.0000610499,0.0000612499,0.0000598299,0.0000584199,0.0000568099,0.0000561699,0.0000550999,0.0000540499,0.0000517199,0.0000522699,0.0000495899,0.0000497999,0.0000497499,0.0000489499,0.0000463399,0.0000440599,0.0000429599,0.0000422999,0.0000402699,0.0000367799,0.0000348400,0.0000324800,0.0000311800,0.0000279700,0.0000266500,0.0031317558
9/1/2024,0.0000244899,0.0000228499,0.0000206899,0.0000195499,0.0000187999,0.0000179999,0.0000177699,0.0000175999,0.0000173999,0.0000172599,0.0000170299,0.0000163799,0.0000161699,0.0000153899,0.0000150500,0.0000144200,0.0000149200,0.0000145200,0.0000160500,0.0000159500,0.0000152600,0.0000147600,0.0000148300,0.0000152800,0.0000168000,0.0000189100,0.0000203000,0.0000225800,0.0000246600,0.0000267800,0.0000276100,0.0000316300,0.0000309700,0.0000312200,0.0000307000,0.0000288600,0.0000303900,0.0000314600,0.0000304900,0.0000323100,0.0000322000,0.0000331600,0.0000315500,0.0000315600,0.0000318400,0.0000321800,0.0000319100,0.0000328800,0.0000323900,0.0000321600,0.0000316600,0.0000328700,0.0000351400,0.0000342700,0.0000331800,0.0000331300,0.0000325800,0.0000328500,0.0000331400,0.0000323500,0.0000327200,0.0000332300,0.0000345300,0.0000352499,0.0000375599,0.0000436499,0.0000458999,0.0000484699,0.0000515699,0.0000532799,0.0000576299,0.0000593199,0.0000589899,0.0000581299,0.0000566399,0.0000548699,0.0000543799,0.0000519599,0.0000518299,0.0000518199,0.0000511799,0.0000515399,0.0000512699,0.0000487199,0.0000491999,0.0000473499,0.0000455499,0.0000433399,0.0000420599,0.0000403699,0.0000369199,0.0000340400,0.0000329800,0.0000298900,0.0000276400,0.0000258400,0.0031287058
10/1/2024,0.0000241399,0.0000226699,0.0000216499,0.0000203499,0.0000193999,0.0000183799,0.0000177599,0.0000170499,0.0000164999,0.0000168799,0.0000165699,0.0000156599,0.0000155299,0.0000151099,0.0000146000,0.0000144300,0.0000152500,0.0000137500,0.0000147700,0.0000159200,0.0000144200,0.0000141700,0.0000149700,0.0000160100,0.0000186800,0.0000200600,0.0000202100,0.0000221800,0.0000241700,0.0000284800,0.0000283300,0.0000320800,0.0000327900,0.0000318800,0.0000307500,0.0000302200,0.0000299600,0.0000295000,0.0000317400,0.0000330500,0.0000317100,0.0000307300,0.0000312400,0.0000316000,0.0000315200,0.0000318900,0.0000312600,0.0000319800,0.0000329600,0.0000335300,0.0000344000,0.0000335300,0.0000332900,0.0000336200,0.0000322600,0.0000295100,0.0000309900,0.0000294500,0.0000301700,0.0000307100,0.0000306500,0.0000331600,0.0000360799,0.0000383099,0.0000381799,0.0000434299,0.0000454999,0.0000473499,0.0000516299,0.0000547499,0.0000583799,0.0000595699,0.0000607599,0.0000620899,0.0000588099,0.0000577399,0.0000555499,0.0000547699,0.0000519999,0.0000525599,0.0000518199,0.0000482599,0.0000480499,0.0000468399,0.0000460099,0.0000454099,0.0000418599,0.0000409599,0.0000393799,0.0000375399,0.0000356499,0.0000347900,0.0000324900,0.0000290400,0.0000273400,0.0000252400,0.0031083157
