Month,Customers,Demand (kWh)
1.0,60000.0,17306.0
2.0,61800.0,16110.0
3.0,63654.0,17553.0
4.0,65563.62,13559.0
5.0,67530.5286,13802.0
6.0,69556.444458,13590.0
7.0,71643.13779174001,14214.0
8.0,73792.43192549222,14817.0
9.0,76006.20488325699,15108.0
10.0,78286.3910297547,20354.0
11.0,80634.98276064733,21458.0
12.0,83054.03224346676,24480.0
13.0,85545.65321077076,24674.0
14.0,88112.02280709389,22968.0
15.0,90755.38349130671,25026.0
16.0,93478.04499604591,19332.0
17.0,96282.3863459273,19679.0
18.0,99170.85793630511,19376.0
19.0,102145.98367439427,20265.0
20.0,105210.3631846261,21126.0
21.0,108366.67408016488,21541.0
22.0,111617.67430256984,29021.0
23.0,114966.20453164693,30594.0
24.0,118415.19066759634,34902.0
