Month,Customers,Demand (kWh)
1.0,60000.0,15859.0
2.0,61800.0,14762.0
3.0,63654.0,16085.0
4.0,65564.0,15186.0
5.0,67531.0,15458.0
6.0,69556.0,15221.0
7.0,71643.0,15919.0
8.0,73792.0,16595.0
9.0,76006.0,16921.0
10.0,78286.0,18652.0
11.0,80635.0,19663.0
12.0,83054.0,22432.0
13.0,85546.0,22611.0
14.0,88112.0,21047.0
15.0,90755.0,22933.0
16.0,93478.0,21652.0
17.0,96282.0,22040.0
18.0,99171.0,21701.0
19.0,102146.0,22697.0
20.0,105210.0,23661.0
21.0,108367.0,24126.0
22.0,111618.0,26593.0
23.0,114966.0,28035.0
24.0,118415.0,31983.0
