Month,Customers,Demand (kWh)
1.0,35000.0,692516616.0
2.0,35525.0,1747768868.0
3.0,36057.87499999999,3157112726.0
4.0,36598.743124999986,3291249130.0
5.0,37147.72427187499,3920013329.0
6.0,37704.94013595311,4053614274.0
7.0,38270.5142379924,4425181597.0
8.0,38844.571951562284,4689290847.0
9.0,39427.24053083571,4806879155.0
10.0,40018.649138798246,6646130470.0
11.0,40618.928875880214,7493315965.0
12.0,41228.21280901841,8992996409.0
13.0,41846.63600115369,827985451.0
14.0,42474.33554117099,2089664219.0
15.0,43111.450574288545,3774701345.0
16.0,43758.12233290287,3935077267.0
17.0,44414.49416789641,4686839169.0
18.0,45080.71158041485,4846574886.0
19.0,45756.92225412107,5290827530.0
20.0,46443.27608793288,5606601348.0
21.0,47139.92522925187,5747192066.0
22.0,47847.024107690646,7946234359.0
23.0,48564.729469305996,8959144732.0
24.0,49293.200411345584,10752189922.0
