Month,Customers,Demand (kWh)
1.0,35000.0,634593610.0
2.0,35525.0,1601583167.0
3.0,36058.0,2893047639.0
4.0,36599.0,3686179074.0
5.0,37148.0,4390391165.0
6.0,37705.0,4540023412.0
7.0,38271.0,4956176563.0
8.0,38845.0,5251977321.0
9.0,39427.0,5383675513.0
10.0,40019.0,6090239320.0
11.0,40619.0,6866565099.0
12.0,41228.0,8240810285.0
13.0,41847.0,758731652.0
14.0,42474.0,1914881937.0
15.0,43111.0,3458980328.0
16.0,43758.0,4407262684.0
17.0,44414.0,5249231456.0
18.0,45081.0,5428134491.0
19.0,45757.0,5925694759.0
20.0,46443.0,6279359521.0
21.0,47140.0,6436820273.0
22.0,47847.0,7281600799.0
23.0,48565.0,8209790007.0
24.0,49293.0,9852862525.0
